case,rank_in_case,stem,score,details,gt_count,yolo_correct,yolo_missed,yolo_wrong,yolo_fp,kd_correct,kd_missed,kd_wrong,kd_fp,image_path
Case1_FN_fixed,1,68464,22,pl100: background -> pl100; pl80: background -> pl80,2,0,2,0,0,2,0,0,0,F:\DataSets\tt100k\yolojack\images\val\68464.jpg
Case1_FN_fixed,2,8957,22,pl100: background -> pl100; pl100: background -> pl100,2,0,2,0,0,2,0,0,0,F:\DataSets\tt100k\yolojack\images\val\8957.jpg
Case1_FN_fixed,3,15613,12,pl80: background -> pl80,2,0,1,1,0,2,0,0,0,F:\DataSets\tt100k\yolojack\images\val\15613.jpg
Case1_FN_fixed,4,8335,12,pl50: background -> pl50,2,0,1,1,0,2,0,0,0,F:\DataSets\tt100k\yolojack\images\val\8335.jpg
Case1_FN_fixed,5,10654,11,pl80: background -> pl80,1,0,1,0,0,1,0,0,0,F:\DataSets\tt100k\yolojack\images\val\10654.jpg
Case1_FN_fixed,6,11146,11,pl40: background -> pl40,1,0,1,0,0,1,0,0,1,F:\DataSets\tt100k\yolojack\images\val\11146.jpg
Case1_FN_fixed,7,1129,11,pl60: background -> pl60,1,0,1,0,0,1,0,0,0,F:\DataSets\tt100k\yolojack\images\val\1129.jpg
Case1_FN_fixed,8,11640,11,pl80: background -> pl80,2,0,2,0,0,1,0,1,0,F:\DataSets\tt100k\yolojack\images\val\11640.jpg
Case1_FN_fixed,9,12914,11,pl80: background -> pl80,1,0,1,0,0,1,0,0,0,F:\DataSets\tt100k\yolojack\images\val\12914.jpg
Case1_FN_fixed,10,13306,11,pl80: background -> pl80,1,0,1,0,0,1,0,0,0,F:\DataSets\tt100k\yolojack\images\val\13306.jpg
Case1_FN_fixed,11,13435,11,pl50: background -> pl50,1,0,1,0,0,1,0,0,0,F:\DataSets\tt100k\yolojack\images\val\13435.jpg
Case1_FN_fixed,12,1584,11,pl50: background -> pl50,1,0,1,0,0,1,0,0,1,F:\DataSets\tt100k\yolojack\images\val\1584.jpg
Case1_FN_fixed,13,16617,11,pl40: background -> pl40,1,0,1,0,0,1,0,0,0,F:\DataSets\tt100k\yolojack\images\val\16617.jpg
Case1_FN_fixed,14,18028,11,pl80: background -> pl80,1,0,1,0,0,1,0,0,0,F:\DataSets\tt100k\yolojack\images\val\18028.jpg
